Total weight (Kg): 9119.58
Total solution time: 12975.99



i     x(cm^2)   x(in^2)     q        sigma sigma/(gamma*x) Euler_slcak  x_hat   q_Euler  q_yield 
31     5.00    0.775    7.817     1.56          6.6546        -        -        -   13.500  
32    10.00    1.550   -3.523    -0.35         -0.4579   0.4171   35.095   -7.693  -27.000  *
33     0.25    0.039    0.300     1.20         62.0824        -        -        -    0.675  
34     5.00    0.775   -0.302    -0.06         -0.0809   0.6876   18.046   -3.740  -13.500  *
35     0.25    0.039    0.285     1.14         30.2706        -        -        -    0.675  
36   500.00   77.500 1275.179     2.55          0.2922        -        -        - 1350.000  
37   500.00   77.500 -1255.862    -2.51         -0.2877   6.2173  154.657 -4364.490 -1350.000  
38   450.00   69.750 1209.402     2.69          0.3421        -        -        - 1215.000  
39   450.00   69.750 -1185.517    -2.63         -0.3353   5.2216  154.657 -3535.237 -1215.000  
40   450.00   69.750 1145.014     2.54          0.3239        -        -        - 1215.000  
41   450.00   69.750 -1104.903    -2.46         -0.3125   5.4007  154.657 -3535.237 -1215.000  
42   400.00   62.000 1077.648     2.69          0.3858        -        -        - 1080.000  
43   400.00   62.000 -1024.390    -2.56         -0.3667   4.4222  154.657 -2793.274 -1080.000  
44   400.00   62.000  996.530     2.49          0.3568        -        -        - 1080.000  
45   350.00   54.250 -943.671    -2.70         -0.4413   3.4141  154.657 -2138.600 -945.000  
46   350.00   54.250  894.388     2.56          0.4182        -        -        -  945.000  
47   350.00   54.250 -856.969    -2.45         -0.4007   3.6618  154.657 -2138.600 -945.000  
48   300.00   46.500  800.338     2.67          0.5094        -        -        -  810.000  
49   300.00   46.500 -736.422    -2.45         -0.4687   2.7826  154.657 -1571.217 -810.000  
50   300.00   46.500  701.344     2.34          0.4464        -        -        -  810.000  
51   250.00   38.750 -622.983    -2.49         -0.5710   1.8726  154.657 -1091.123 -675.000  
52   250.00   38.750  589.341     2.36          0.5401        -        -        -  675.000  
53   200.00   31.000 -519.501    -2.60         -0.7439   0.8941  154.657 -698.318 -540.000  
54   200.00   31.000  471.773     2.36          0.6756        -        -        -  540.000  
55   200.00   31.000 -403.570    -2.02         -0.5779   1.4737  154.657 -698.318 -540.000  
56   150.00   23.250  361.716     2.41          0.9209        -        -        -  405.000  
57   150.00   23.250 -316.608    -2.11         -0.8060   0.5080  154.657 -392.804 -405.000  *
58    95.00   14.725  252.130     2.65          1.6002        -        -        -  256.500  
59   150.00   23.250 -235.690    -1.57         -0.6000   1.0474  154.657 -392.804 -405.000  *
60    55.00    8.525  144.995     2.64          2.7456        -        -        -  148.500  
61    95.00   14.725 -155.202    -1.63         -0.9850   0.0248  154.657 -157.558 -256.500  *
62    25.00    3.875   67.424     2.70          6.1793        -        -        -   67.500  
63    80.00   12.400 -104.603    -1.31         -0.9362   0.0891  154.657 -111.731 -216.000  *
64    10.00    1.550   23.968     2.40         13.7289        -        -        -   27.000  
65    55.00    8.525  -52.313    -0.95         -0.9906   0.0090  154.657  -52.810 -148.500  *
66    10.00    1.550   12.021     1.20          6.8855        -        -        -   27.000  
67    25.00    3.875   -8.575    -0.34         -0.7859   0.0935  154.657  -10.911  -67.500  *
68     0.25    0.039    0.169     0.67        154.5437        -        -        -    0.675  
69    10.00    1.550   -1.015    -0.10         -0.5812   0.0731  154.657   -1.746  -27.000  *
70   300.00   46.500  709.973     2.37          0.4424        -        -        -  810.000  
71   250.00   38.750 -565.135    -2.26         -0.5071   2.1969  151.433 -1114.353 -675.000  
72   200.00   31.000  539.092     2.70          0.7558        -        -        -  540.000  
73   250.00   38.750 -453.094    -1.81         -0.4066   2.6450  151.433 -1114.353 -675.000  
74   200.00   31.000  408.508     2.04          0.5727        -        -        -  540.000  
75   200.00   31.000 -315.814    -1.58         -0.4428   1.9869  151.433 -713.186 -540.000  
76    75.00   11.625  183.666     2.45          1.8311        -        -        -  202.500  
77   200.00   31.000 -287.147    -1.44         -0.4026   2.1302  151.433 -713.186 -540.000  
78    55.00    8.525  144.999     2.64          2.6881        -        -        -  148.500  
79    90.00   13.950 -123.047    -1.37         -0.8520   0.2375  151.433 -144.420 -243.000  *
